PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,AST,REB,FG3M,STL,BLK,PTS+REB,PTS+AST,REB+AST,PTS+REB+AST
Bub Carrington,WAS,5,36.1,10.8,6.6,4.2,2.0,0.8,0.2,15.0,17.4,10.8,21.6
Sandro Mamukelashvili,TOR,4,23.3,13.8,2.3,5.5,1.5,0.8,0.8,19.3,16.1,7.8,21.6
Ace Bailey,UTA,5,31.6,14.2,2.4,5.0,1.6,0.6,0.6,19.2,16.6,7.4,21.6
Neemias Queta,BOS,5,25.5,11.4,1.2,9.0,0.0,1.4,1.2,20.4,12.6,10.2,21.6
Miles McBride,NYK,5,32.5,14.2,4.4,2.8,3.2,0.8,0.0,17.0,18.6,7.2,21.4
Jock Landale,MEM,5,25.9,11.2,2.2,8.0,1.0,1.0,0.6,19.2,13.4,10.2,21.4
Mark Williams,PHX,5,25.3,11.4,0.8,9.2,0.0,0.8,1.6,20.6,12.2,10.0,21.4
Jarrett Allen,CLE,5,29.6,12.0,2.2,7.2,0.0,0.6,0.8,19.2,14.2,9.4,21.4
Ayo Dosunmu,CHI,5,25.9,15.4,3.8,2.2,2.4,1.4,0.4,17.6,19.2,6.0,21.4
Malik Monk,SAC,5,24.4,16.0,3.6,1.8,3.2,0.2,0.2,17.8,19.6,5.4,21.4
Rudy Gobert,MIN,3,30.2,7.7,1.3,12.3,0.0,1.7,2.3,20.0,9.0,13.6,21.3
Noah Clowney,BKN,5,29.3,13.0,2.4,5.8,1.4,0.8,0.8,18.8,15.4,8.2,21.2
Santi Aldama,MEM,5,27.9,12.8,2.8,5.6,1.4,0.4,0.6,18.4,15.6,8.4,21.2
Payton Pritchard,BOS,4,30.9,11.5,5.8,3.8,1.5,1.0,0.3,15.3,17.3,9.6,21.1
Josh Hart,NYK,4,31.8,10.3,6.0,4.8,1.8,0.5,0.5,15.1,16.3,10.8,21.1
Moussa Diabaté,CHA,4,28.6,8.8,2.3,10.0,0.0,0.3,1.8,18.8,11.1,12.3,21.1
Jalen Williams,OKC,4,26.2,13.0,5.0,3.0,0.5,1.0,0.3,16.0,18.0,8.0,21.0
Dillon Brooks,PHX,5,31.5,15.8,1.0,4.2,2.0,0.6,0.4,20.0,16.8,5.2,21.0
Ajay Mitchell,OKC,5,26.6,12.8,3.8,4.2,0.8,0.8,0.2,17.0,16.6,8.0,20.8
Khris Middleton,WAS,4,25.1,11.5,4.8,4.3,1.8,0.5,0.0,15.8,16.3,9.1,20.6
Marcus Smart,LAL,5,28.6,14.8,2.2,3.6,2.4,0.8,0.2,18.4,17.0,5.8,20.6
De'Anthony Melton,GSW,4,20.8,14.5,2.8,3.3,2.0,0.8,0.5,17.8,17.3,6.1,20.6
Saddiq Bey,NOP,4,29.7,15.0,1.5,4.0,1.3,0.5,0.0,19.0,16.5,5.5,20.5
Domantas Sabonis,SAC,3,19.3,9.0,3.3,8.0,0.0,0.3,0.3,17.0,12.3,11.3,20.3
P.J. Washington,DAL,1,31.0,12.0,2.0,6.0,0.0,1.0,0.0,18.0,14.0,8.0,20.0
Andre Drummond,PHI,2,16.9,7.5,0.5,12.0,0.0,0.0,0.5,19.5,8.0,12.5,20.0
Tim Hardaway Jr.,DEN,5,29.6,15.2,2.0,2.4,2.6,0.6,0.6,17.6,17.2,4.4,19.6
Isaiah Collier,UTA,5,24.4,11.0,6.4,2.2,0.6,1.2,0.2,13.2,17.4,8.6,19.6
Jay Huff,IND,5,21.8,13.8,1.0,4.6,2.0,0.8,1.8,18.4,14.8,5.6,19.4
Duncan Robinson,DET,5,26.3,16.4,1.2,1.8,4.4,0.2,0.6,18.2,17.6,3.0,19.4
Collin Sexton,CHA,4,18.9,13.0,3.8,2.5,1.0,0.5,0.0,15.5,16.8,6.3,19.3
Draymond Green,GSW,4,24.6,10.5,3.5,5.3,1.8,0.5,0.5,15.8,14.0,8.8,19.3
Mitchell Robinson,NYK,4,20.6,6.8,1.0,11.5,0.0,1.0,1.8,18.3,7.8,12.5,19.3
Moussa Cisse,DAL,4,19.1,9.0,0.8,9.5,0.0,0.5,1.8,18.5,9.8,10.3,19.3
Precious Achiuwa,SAC,5,27.3,11.0,1.2,7.0,0.8,0.6,1.4,18.0,12.2,8.2,19.2
Kevin Love,UTA,1,20.7,6.0,2.0,11.0,1.0,1.0,0.0,17.0,8.0,13.0,19.0
Tre Johnson,WAS,5,29.7,13.2,3.2,2.4,2.4,0.6,0.2,15.6,16.4,5.6,18.8
Isaiah Stewart,DET,4,23.6,12.5,1.5,4.8,0.8,0.5,1.5,17.3,14.0,6.3,18.8
Jalen Pickett,DEN,5,27.8,9.8,4.6,4.4,2.0,0.8,0.0,14.2,14.4,9.0,18.8
Dylan Harper,SAS,5,23.9,11.4,4.2,3.2,0.8,0.2,0.4,14.6,15.6,7.4,18.8
Jrue Holiday,POR,4,19.3,10.3,3.8,4.3,1.5,1.0,0.0,14.6,14.1,8.1,18.4
Simone Fontecchio,MIA,4,20.0,11.0,1.3,6.0,2.3,0.5,0.3,17.0,12.3,7.3,18.3
Royce O'Neale,PHX,5,28.7,9.8,4.0,4.4,2.6,0.4,0.0,14.2,13.8,8.4,18.2
Ryan Rollins,MIL,5,30.3,8.6,3.8,5.8,0.8,0.8,1.0,14.4,12.4,9.6,18.2
Jeremiah Fears,NOP,5,25.2,10.2,3.4,4.6,1.0,0.8,0.4,14.8,13.6,8.0,18.2
Buddy Hield,GSW,4,16.5,14.5,1.3,2.3,3.0,1.3,0.8,16.8,15.8,3.6,18.1
Kelly Oubre Jr.,PHI,5,30.2,13.0,1.8,3.2,2.4,1.0,0.2,16.2,14.8,5.0,18.0
Ziaire Williams,BKN,1,23.5,15.0,1.0,2.0,3.0,2.0,0.0,17.0,16.0,3.0,18.0
Moses Moody,GSW,5,24.9,14.0,1.4,2.6,3.6,0.6,0.4,16.6,15.4,4.0,18.0
Justin Champagnie,WAS,5,25.4,10.4,0.8,6.8,0.6,1.0,0.2,17.2,11.2,7.6,18.0
Robert Williams III,POR,4,17.1,9.3,1.0,7.3,0.5,0.8,1.5,16.6,10.3,8.3,17.6
Pelle Larsson,MIA,5,28.1,10.0,3.6,4.0,0.0,0.4,0.0,14.0,13.6,7.6,17.6
De'Andre Hunter,CLE,5,23.3,11.0,2.8,3.6,1.4,0.4,0.2,14.6,13.8,6.4,17.4
Myles Turner,MIL,4,24.4,10.8,1.0,5.5,2.5,0.0,0.0,16.3,11.8,6.5,17.3
Jordan Poole,NOP,5,20.3,13.6,1.8,1.8,3.4,0.4,0.0,15.4,15.4,3.6,17.2
