PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,AST,REB,FG3M,STL,BLK,PTS+REB,PTS+AST,REB+AST,PTS+REB+AST
Coby White,CHI,22,28.5,18.5,4.6,3.5,2.5,0.8,0.1,22.0,23.1,8.1,26.6
Jerami Grant,POR,28,29.8,19.9,2.6,3.9,2.5,0.7,0.6,23.8,22.5,6.5,26.4
DeMar DeRozan,SAC,44,33.6,19.1,4.0,3.3,0.8,1.4,0.3,22.4,23.1,7.3,26.4
Payton Pritchard,BOS,41,32.7,16.6,5.3,4.4,2.5,0.9,0.1,21.0,21.9,9.7,26.3
Ryan Rollins,MIL,42,31.6,16.2,5.5,4.5,2.2,1.5,0.4,20.7,21.7,10.0,26.2
Jaren Jackson Jr.,MEM,39,30.5,18.8,1.8,5.5,1.7,0.9,1.5,24.3,20.6,7.3,26.1
Kyshawn George,WAS,33,31.2,15.5,4.9,5.6,2.2,1.1,0.9,21.1,20.4,10.5,26.0
Zach Edey,MEM,11,25.8,13.6,1.1,11.1,0.1,0.6,1.9,24.7,14.7,12.2,25.8
CJ McCollum,ATL,40,30.3,18.6,3.6,3.5,2.5,0.7,0.3,22.1,22.2,7.1,25.7
Jusuf Nurkić,UTA,34,26.1,10.9,4.5,10.2,0.6,1.4,0.4,21.1,15.4,14.7,25.6
Dillon Brooks,PHX,38,30.8,20.5,1.7,3.4,2.5,1.1,0.1,23.9,22.2,5.1,25.6
Jaime Jaquez Jr.,MIA,39,28.8,15.6,4.7,5.2,0.5,0.8,0.2,20.8,20.3,9.9,25.5
Bennedict Mathurin,IND,24,32.1,17.8,2.2,5.5,2.2,0.7,0.2,23.3,20.0,7.7,25.5
VJ Edgecombe,PHI,38,35.8,15.8,4.2,5.3,2.2,1.5,0.5,21.1,20.0,9.5,25.3
Zach LaVine,SAC,32,32.4,19.8,2.3,2.9,2.7,0.7,0.3,22.7,22.1,5.2,25.0
Kristaps Porziņģis,ATL,17,24.3,17.1,2.7,5.1,1.8,0.5,1.3,22.2,19.8,7.8,24.9
Paul George,PHI,23,29.8,15.9,3.7,5.2,2.3,1.3,0.5,21.1,19.6,8.9,24.8
Josh Hart,NYK,32,30.5,12.0,5.2,7.6,1.6,1.3,0.3,19.6,17.2,12.8,24.8
Dyson Daniels,ATL,43,34.1,11.8,6.2,6.7,0.2,1.9,0.5,18.5,18.0,12.9,24.7
Mikal Bridges,NYK,43,34.9,15.9,4.2,4.5,2.3,1.6,0.9,20.4,20.1,8.7,24.6
Isaiah Hartenstein,OKC,24,26.9,11.2,3.0,10.4,0.0,1.1,0.8,21.6,14.2,13.4,24.6
